1,what articles exist which deal with tss time sharing system an operating system for ibm computers the 2358 6 of 5
2,i am interested in articles written either by prieve or udo pooch prieve b pooch u 2863 4 5 2434 the
3,intermediate languages used in construction of multitargeted compilers tcoll 1613 4 6 1947 5
4,im interested in mechanisms for communicating between disjoint processes possibly but not exclusively in a distributed environment i would rather see descriptions of complete mechanisms with or without implementations as opposed to theoretical work on the abstract problem remote procedure calls and messagepassing are examples of my interests 6 1749 4 3073 5
5,id like papers on design and implementation of editing interfaces windowmanagers command interpreters etc the essential issues are human interface design with views on improvements to user efficiency effectiveness and satisfaction 4 a 5 2501 1502
6,interested in articles on robotics motion planning particularly the geometric and combinatorial aspects we are not interested in the dynamics of arm motion 2828 4 5 a to
7,i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include faulttolerance and techniques for understanding the correctness of these algorithms 4 6 1198 2150 1877
8,addressing schemes for resources in networks resource addressing in network operating systems 2625 5 the 4 of
9,security considerations in local networks network operating systems and distributed systems 4 2632 of 5 the
10,parallel languages languages for parallel computation 6 1380 1198 1471 4
11,setl very high level languages 1491 6 4 1396 1358
12,portable operating systems 6 2080 5 4 2629
13,code optimization for space efficiency 6 1223 1947 4 5
14,find all discussions of optimal implementations of sort algorithms for database management applications 6 5 852 851 854
15,find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization 6 1613 4 2598 5
16,find all descriptions of file handling in operating systems based on multiple processes and message passing 4 1749 6 1854 5
17,optimization of intermediate and machine code 6 1613 1223 4 1535
18,languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction 6 4 2060 1613 1215
19,parallel algorithms 6 1601 5 the 863
20,graph theoretic algorithms applicable to sparse matrices 2986 4 5 the a
21,computational complexity intractability classcomplete reductions algorithms and efficiency the of 5 is 4
22,i am interested in hiddenline and hiddensurface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics 5 the 2751 of clipping
23,distributed computing structures and algorithms the 5 3148 of a
24,applied stochastic processes 4 2373 1892 the 5
25,performance evaluation and modelling of computer systems the 6 5 1572 a
26,concurrency control mechanisms in operating systems 6 4 1749 1198 5
27,memory management aspects of operating systems 6 4 2095 1641 the
28,any information on packet radio networks of particular interest are algorithms for packet routing and for dealing with changes in network topography i am not interested in the hardware used in the network a 5 is computer to
29,numbertheoretic algorithms especially involving prime number series sieves and chinese remainder theorem 5 6 1539 1537 377
30,articles on text formatting systems including what you see is what you get systems examples tnroff scribe bravo 5 2786 of the and
31,id like to find articles describing the use of singular value decomposition in digital image processing applications include finding approximations to the original image and restoring images that are subject to noise an article on the subject is h andrews and c patterson outer product expansions and their uses in digital image processing american mathematical andrews h patterson c a 5 3047 2125 for
32,id like to find articles describing graph algorithms that are based on the eigenvalue decomposition or singular value decomposition of the ajacency matrix for the graph im especially interested in any heuristic algorithms for graph coloring and graph isomorphism using this method 5 a is 2630 algorithm
33,articles about the sensitivity of the eigenvalue decomposition of real matrices in particular zeroone matrices im especially interested in the separation of eigenspaces corresponding to distinct eigenvalues articles on the subject c davis and w kahn the rotation of eigenvectors by a permutation siam j numerical analysis vol 7 no 1 1970 g stewart error bounds for approximate invariant subspaces of closed linear operators siam j numerical analysis vol 8 no 4 1971 davis c kahn w stewart g 5 6 algorithm 2335 is
34,currently interested in isolation of root of polynomial there is an old more recent material heindel l 5 the 1524 a to
35,probabilistic algorithms especially those dealing with algebraic and symbolic manipulation some examples rabiin probabilistic algorithm on finite field siam waztch probabilistic testing of polynomial identities siam rabinm the 5 a in is
36,fast algorithm for contextfree language recognition or parsing 4 6 1787 1265 1836
37,articles describing the relationship between data types and concurrency eg what is the type of a process when is a synchronization attempt between two processes type correct in a messagepassing system is there any notion of the types of messagesie any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type 4 6 2632 2377 2625
38,what is the type of a module i dont want the entire literature on abstract data types here but im not sure how to phrase this to avoid it im interested in questions about how one can check that a module matches contexts in which it is used 4 6 2632 2625 5
39,what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmersupplied definitions of operators like 4 6 2126 2632 2317
40,list all articles dealing with data types in the following languages that are referenced frequently in papers on the above languages eg catch any languages with interesting type structures that i might have missed 6 4 1614 2126 5
41,theory of distributed systems and databases subtopics of special interest include reliability and faulttolerance in distributed systems atomicity distributed transactions synchronization algorithms resource allocation lower bounds and models for asynchronous parallel systems also theory of communicating processes and protocols p box 2158 yale station new haven conn 06520 the 5 a 3043 is
42,computer performance evaluation techniques using pattern recognition and clustering la 70803 the 6 of 5 4
43,analysis and perception of shape by humans and computers shape descriptions shape recognition by computer twodimensional shapes measures of circularity shape matching the 5 a 1697 6
44,texture analysis by computer digitized texture analysis texture synthesis perception of texture the 5 a 6 2004
45,the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases 4 5 2452 2669 2360
